rep,divergence,mig_time,mig_rate,D,ABBA,BABA,FST_AB,FST_BC
1,shallow,intermediate,very_high,0.1019113001893703,806.4063749999983,657.2438750000015,0.1852792058630902,0.1773648074500248
2,shallow,intermediate,very_high,0.17742203933114706,820.6089999999983,573.2989999999984,0.18952870968093893,0.17965465177698955
3,shallow,intermediate,very_high,0.10838942467370512,809.2722499999967,650.9947499999997,0.1839546947721582,0.17960362986887687
4,shallow,intermediate,very_high,0.09355104865597905,799.5369999999982,662.7395000000033,0.18562595527264047,0.1793434972702872
5,shallow,intermediate,very_high,0.11566074518588805,779.1657499999966,617.6132499999977,0.19367953120034914,0.18751906967062418
6,shallow,intermediate,very_high,0.15069256114890653,828.9862499999978,611.8612499999991,0.19185289358783156,0.17947269891178974
7,shallow,intermediate,very_high,0.10765625149531902,824.6621249999987,664.3596249999989,0.19242690857855882,0.18569087146989088
8,shallow,intermediate,very_high,0.13140612085540457,805.0668749999965,618.0593749999985,0.1837398794990565,0.17610241182502434
9,shallow,intermediate,very_high,0.20911573066945155,866.0268749999973,566.4693749999988,0.1842656724252044,0.17091716482391256
0,shallow,intermediate,super_high,0.21513611072243374,910.7613749999997,588.2663749999992,0.17947929139954094,0.16642484597283047
1,shallow,intermediate,super_high,0.3386604985972605,1085.2982500000007,536.1707499999993,0.17466855361222347,0.1371910695823377
2,shallow,intermediate,super_high,0.35047981135651096,1087.6516250000018,523.1116250000005,0.17238995161632867,0.14317372789002783
3,shallow,intermediate,super_high,0.3749119782434498,1104.1484999999984,501.98849999999953,0.1694151017723638,0.13890898902661164
4,shallow,intermediate,super_high,0.23217202274343615,906.0567499999962,564.6092499999991,0.17431545033650744,0.15644455125596743
5,shallow,intermediate,super_high,0.26523974043474363,969.9194999999984,563.2594999999992,0.1749055295667438,0.15186862687674127
6,shallow,intermediate,super_high,0.3378316317174642,1030.4952499999956,510.0502500000002,0.16744387672819033,0.13495764381250133
7,shallow,intermediate,super_high,0.31205891865631086,969.5472499999977,508.35474999999946,0.1760526997225442,0.1516577197322566
8,shallow,intermediate,super_high,0.3165123037267509,960.0807499999946,498.44075000000004,0.17366620488173987,0.15240654235007742
9,shallow,intermediate,super_high,0.2637544478875515,979.075749999998,570.3957500000018,0.1765219733344388,0.15176227149839253
0,shallow,ancient,none,-0.036408873450459234,661.8773749999973,711.8948749999998,0.19918220995246222,0.19885685856608107
1,shallow,ancient,none,-0.029751938527949065,650.4722499999992,690.3647499999988,0.1959232668986915,0.1980974372917686
2,shallow,ancient,none,-0.05855834273610022,616.4921249999979,693.1846249999996,0.19553314603072464,0.20705755647174928
3,shallow,ancient,none,0.02435871993847152,622.6481250000012,593.0356250000003,0.18904013884725238,0.19649408817260927
4,shallow,ancient,none,0.04372072689771779,698.328749999999,639.8237500000007,0.1957402907908556,0.1991131721026233
5,shallow,ancient,none,-0.0461290019045873,594.2953749999992,651.7753749999997,0.19472120583188424,0.20602123367467703
6,shallow,ancient,none,-0.018359452594286285,639.3418749999987,663.2568750000003,0.19806534597660938,0.20336862728542598
7,shallow,ancient,none,-0.03196393001733154,673.089999999999,717.5400000000008,0.20595549673578645,0.2028109694149746
8,shallow,ancient,none,-0.02043770148911963,634.402625,660.8751249999984,0.2032262698295429,0.19938260213428866
9,shallow,ancient,none,-0.0028638027989292252,639.7918749999981,643.4668749999985,0.19868535048571578,0.19901810516363
0,shallow,ancient,low,0.011737589207027607,703.5778750000002,687.2528749999981,0.20559762201100498,0.19942835557625002
1,shallow,ancient,low,-0.06199825566972959,622.9755000000008,705.3279999999974,0.19924938218919516,0.19784701659082224
2,shallow,ancient,low,0.0633173252260996,737.2751249999985,649.4701249999998,0.20337983448782143,0.1963673937587243
3,shallow,ancient,low,0.05572477682370434,680.8007500000002,608.9307499999989,0.19897898533063446,0.20055102729356855
4,shallow,ancient,low,0.018294499260576705,676.0057500000006,651.7157499999988,0.19690754685293857,0.20205940019815377
5,shallow,ancient,low,0.02173978618708806,660.5067500000011,632.3992499999979,0.20246175483961054,0.19803626321981832
6,shallow,ancient,low,0.02421112172324489,690.3374999999983,657.6999999999996,0.20012511714697526,0.19733942490443476
7,shallow,ancient,low,0.05554023435319347,711.4271249999987,636.5596249999992,0.2022760246629932,0.19823902699636503
