rep,Ne,divergence,mig_time,mig_rate,mig_model,mig_direction,D,ABBA,BABA,FST_AB,FST_BC
9,100000,shallow,recent,high,episodic,symmetric,0.041941882089488715,418.8758749999998,385.15337499999976,0.13292874884985845,0.19507404801311015
0,100000,shallow,recent,high,continuous,C_to_B,0.5593840173117914,1335.563875000051,377.3738750000008,0.12958056999222098,0.024770923963605987
1,100000,shallow,recent,high,continuous,C_to_B,0.5731062808604966,1383.8057500000398,375.5232500000002,0.1307633002975087,0.025440181193649304
2,100000,shallow,recent,high,continuous,C_to_B,0.5769026912426581,1457.8150000000578,391.14499999999964,0.13476263297079652,0.02774228818185899
3,100000,shallow,recent,high,continuous,C_to_B,0.5523880256102531,1377.9815000000442,397.32399999999785,0.13216572131202006,0.026169159041739606
4,100000,shallow,recent,high,continuous,C_to_B,0.5690709208706184,1455.6178750000568,399.7703749999997,0.1332671035791193,0.024961857565973834
5,100000,shallow,recent,high,continuous,C_to_B,0.5495450372709699,1318.7112500000414,383.3512499999989,0.13395975951326514,0.027153274090849527
6,100000,shallow,recent,high,continuous,C_to_B,0.5639224899778116,1429.3311250000427,398.54862499999916,0.13158822235377696,0.026388323826161606
7,100000,shallow,recent,high,continuous,C_to_B,0.5278737035744095,1338.0342500000434,413.4642499999984,0.12705247649019347,0.02526706481938913
8,100000,shallow,recent,high,continuous,C_to_B,0.5480108578857869,1338.0212500000287,390.6762499999987,0.12840680870572244,0.025680369091538757
9,100000,shallow,recent,high,continuous,C_to_B,0.575946003750416,1379.7490000000396,371.2614999999993,0.13817112987322214,0.024266023197043667
0,100000,shallow,recent,high,continuous,symmetric,0.8306069398903371,2259.6021250001245,209.0896249999999,0.19953093759444482,0.02535216849430405
1,100000,shallow,recent,high,continuous,symmetric,0.8132663462235297,2345.9700000001244,241.59250000000077,0.20525228227244402,0.02471053847525143
2,100000,shallow,recent,high,continuous,symmetric,0.8011774689505216,2212.715000000096,244.2500000000005,0.2017024562980784,0.028207737541267493
