GenomicPosition,D,FST_BC,Mig_rate,Mig_time
655000.0,0.023619544885993743,0.32497493912981684,0.05,10000
665000.0,-0.03078802058266967,0.28273042836645096,0.05,10000
675000.0,0.014426124848501323,0.3376919001825005,0.05,10000
685000.0,0.00839051569405239,0.3348005056269916,0.05,10000
695000.0,-0.006320988311266706,0.3011303974482293,0.05,10000
705000.0,-0.004824986063309952,0.25955049907674693,0.05,10000
715000.0,-0.026743999966292516,0.3322778089674361,0.05,10000
725000.0,0.0486720941082653,0.2776371361678031,0.05,10000
735000.0,-0.1332347748021167,0.28302499299447487,0.05,10000
745000.0,-0.05002171019582833,0.28307426208356806,0.05,10000
755000.0,-0.00831788117519723,0.3436568680660405,0.05,10000
765000.0,0.005385115567875503,0.3346769299547446,0.05,10000
775000.0,0.03032458291269588,0.3048100799489727,0.05,10000
785000.0,0.054288189402223574,0.3392620503038037,0.05,10000
795000.0,0.04209515869631059,0.323122151838893,0.05,10000
805000.0,0.014367610225564632,0.2973470344404359,0.05,10000
815000.0,-0.02667448290814045,0.35266091540242317,0.05,10000
825000.0,-0.022324004776076933,0.3195950664002335,0.05,10000
835000.0,0.06207233341095332,0.28598860497345663,0.05,10000
845000.0,-0.0782455555754202,0.33138806785369457,0.05,10000
855000.0,0.047834655593301974,0.292705547730671,0.05,10000
865000.0,-0.01583179998699163,0.2813397645004068,0.05,10000
875000.0,0.03211818714667486,0.2608013829348898,0.05,10000
885000.0,-0.012328152984810546,0.3416220151159585,0.05,10000
895000.0,-0.10046711204991883,0.33530665396025355,0.05,10000
905000.0,0.07717981153293269,0.3174016591038983,0.05,10000
915000.0,-0.008478733149446622,0.3373400295681402,0.05,10000
925000.0,0.010377044404642127,0.23607955747994547,0.05,10000
935000.0,0.07351925183287962,0.327263840129946,0.05,10000
945000.0,-0.044939099361794174,0.3235512017552461,0.05,10000
955000.0,-0.008412088318199984,0.28905265273487374,0.05,10000
965000.0,0.06730199009302655,0.3234981967725132,0.05,10000
975000.0,0.019335731841917593,0.3331638019232878,0.05,10000
985000.0,-0.0429234987319898,0.36237561152086517,0.05,10000
995000.0,-0.04603022428009132,0.2043309807800962,0.05,10000
5000.0,0.02545692133632005,0.32869463927459364,0.1,10000
15000.0,0.0797044355581026,0.27797046794488206,0.1,10000
25000.0,-0.024497541580907688,0.3009956940211312,0.1,10000
35000.0,-0.002223075612712989,0.2949526082212767,0.1,10000
45000.0,-0.03601438474828726,0.2516106844919386,0.1,10000
55000.0,-0.1706951497988496,0.3309041096558194,0.1,10000
65000.0,0.06883044954948782,0.2762245117646127,0.1,10000
75000.0,0.07033165582098284,0.2605237496692673,0.1,10000
85000.0,-0.05078349245686105,0.31065296957909366,0.1,10000
95000.0,-0.00800558418372394,0.26175520721891254,0.1,10000
105000.0,0.0035280451011389033,0.2603622169145262,0.1,10000
115000.0,0.07984234602066811,0.32717371238843995,0.1,10000
125000.0,-0.02065589804743878,0.3339101380761998,0.1,10000
135000.0,0.02714266391333614,0.33228592399055645,0.1,10000
145000.0,-0.01127514429556617,0.34867039625187146,0.1,10000
155000.0,-0.009764408259952416,0.32694791419430314,0.1,10000
165000.0,0.004638827638295171,0.33178706357441035,0.1,10000
175000.0,-0.019172978943736187,0.2951797043155663,0.1,10000
185000.0,0.12370247714282817,0.2955121044637691,0.1,10000
195000.0,0.02087549179999158,0.34214598275809255,0.1,10000
205000.0,-0.006699492243038146,0.23126170351973213,0.1,10000
215000.0,0.02810247463693329,0.33394794270832195,0.1,10000
225000.0,0.03492518190358717,0.28666103131848897,0.1,10000
235000.0,-0.01851153320339893,0.2966151367892877,0.1,10000
245000.0,-0.032173100122254404,0.3005300657358367,0.1,10000
255000.0,-0.024199140656852913,0.3462731588259922,0.1,10000
265000.0,-0.11167695955135928,0.2999756098267708,0.1,10000
275000.0,0.024897391333704944,0.27469544718711475,0.1,10000
285000.0,0.009900838111370342,0.31290885599468105,0.1,10000
295000.0,0.05325804671343544,0.2980617104494604,0.1,10000
305000.0,-0.010062361521480332,0.29116686486238813,0.1,10000
315000.0,0.05888579772819568,0.29807598782712286,0.1,10000
325000.0,0.08179884341470048,0.2903419432106348,0.1,10000
335000.0,-0.14409052560778843,0.3077821359017285,0.1,10000
345000.0,-0.02576056762282621,0.3310994315714714,0.1,10000
355000.0,-0.0004123676720729712,0.34942688919650333,0.1,10000
365000.0,-0.005471790291791713,0.25168628283008393,0.1,10000
375000.0,0.05043801546314536,0.32092809098483976,0.1,10000
385000.0,0.0025538219349502365,0.2900067956349148,0.1,10000
395000.0,-0.029047294001259733,0.34695087657801466,0.1,10000
405000.0,-0.055591167840888495,0.2971767136463077,0.1,10000
415000.0,-0.0037661048291798673,0.32970940389440484,0.1,10000
425000.0,-0.07211223143682403,0.2921298799256088,0.1,10000
435000.0,-0.028223163958609646,0.3113403666990074,0.1,10000
445000.0,-0.004519400274192026,0.3378360686214321,0.1,10000
455000.0,0.025936694793048977,0.24014968196464584,0.1,10000
465000.0,-0.0348150948753002,0.29084593398991443,0.1,10000
475000.0,0.012556205958834325,0.28625363334814513,0.1,10000
485000.0,-0.11312360496342244,0.3128713585205606,0.1,10000
495000.0,0.04690772119314125,0.3243501011837514,0.1,10000
505000.0,-0.09126368494814167,0.33965925741176306,0.1,10000
515000.0,-0.03578136097525858,0.27523797468480565,0.1,10000
525000.0,0.04956320904861269,0.25127597305235577,0.1,10000
535000.0,-0.009934523289335976,0.2795406821519567,0.1,10000
545000.0,0.11997293407121519,0.35297376118465196,0.1,10000
555000.0,-0.006060876013402608,0.2850538244602624,0.1,10000
565000.0,0.03129970011291759,0.2549037491753897,0.1,10000
575000.0,-0.08671772240360016,0.2979006721100147,0.1,10000
585000.0,-0.05556117400526024,0.2842088552698534,0.1,10000
595000.0,-0.03880781050888622,0.32156783645598663,0.1,10000
605000.0,0.0015064013393491491,0.326411525127532,0.1,10000
615000.0,0.042571807779437754,0.36700050326663064,0.1,10000
625000.0,0.036067165678808875,0.2766288696849116,0.1,10000
635000.0,-0.05287767780494106,0.3318623820756038,0.1,10000
645000.0,-0.007827504640088382,0.2479443934469065,0.1,10000
655000.0,-0.035444247894337706,0.3502065831412513,0.1,10000
665000.0,-0.04138886824937108,0.2197045895578095,0.1,10000
675000.0,-0.0974763000789504,0.3219744525769636,0.1,10000
685000.0,0.010512178071870819,0.340481037698712,0.1,10000
695000.0,0.07228902650121287,0.3226955238280768,0.1,10000
705000.0,-0.048824635876444235,0.2882012785702498,0.1,10000
715000.0,-0.012142820688995524,0.26257232673439623,0.1,10000
725000.0,0.04678404258925976,0.23945458281257637,0.1,10000
735000.0,0.07533235158761886,0.23824304054736886,0.1,10000
745000.0,-0.01245760932002427,0.29909850618206607,0.1,10000
755000.0,0.13498504115469098,0.2878707259554697,0.1,10000
765000.0,-0.038369238994092635,0.30468086805655453,0.1,10000
775000.0,-0.005376002911146011,0.3750430079428337,0.1,10000
785000.0,0.0004910797700755658,0.29507585387405655,0.1,10000
